"iso3","year","tax_to_gdp","real_gdp_growth","real_gdp_capita","trade_open","industry_value_gdp","natural_rent_gdp","nomina_gdp","total_aid_gdp","loan_gdp","grant_gdp","aid_dist","aid_col","cross"
"FSM",2008,NA,-2.408492587,2965.738151,109.2894757,3.759256775,0.031993485,263145100,53.5256024147894,-0.235611455428963,49.8356230079906,6.76336033252548,36313.671877,51439.063376
"FSM",2012,NA,-1.866819755,3076.165405,111.3589145,8.338153826,0.02804107,327248700,35.3523176715446,0.0672271578160586,43.709875700041,6.76336033252548,36313.671877,51439.063376
"FSM",2018,NA,0.2116536,2917.242219,100.8514618,4.866441438,0.016321881,401932300,-383.65416265376,-0.345829384699861,12.3055549404713,6.76336033252548,36313.671877,51439.063376
"FSM",2014,NA,-2.305775745,2815.497529,105.8599711,6.030077251,0.040600328,319271200,137.068423334144,-0.281892009050613,36.9247210521964,6.76336033252548,36313.671877,51439.063376
"FSM",2000,NA,4.833903786,2894.64294,90.58883243,8.182514989,0.007464106,233271800,22.8488827196429,-0.0214342239396275,41.8095972166374,6.76336033252548,36313.671877,51439.063376
"FSM",1997,NA,-6.060937437,2622.171872,106.1682855,7.050699742,0.016846604,206626300,30.7076107930113,-0.00967930994263557,0.266181023422478,6.76336033252548,36313.671877,51439.063376
"GAB",2010,NA,7.089887315,6863.538764,89.15766272,55.19246281,33.42426082,14372591916,3.50416962329065,0.0532958845890048,0.686027966119566,8.18958847271053,8227.817469,51439.063376
"GAB",2000,NA,-1.882966398,7888.062091,101.7019289,56.2551965,45.02222482,5080483464,1.50635270328674,-1.04576661604109,1.27881530292094,8.18958847271053,8227.817469,51439.063376
"GAB",2003,NA,2.247330012,7646.877694,80.30260821,47.0391681,22.06485404,6511903657,2.43722893273143,-2.11535684886746,1.94751038528763,8.18958847271053,8227.817469,51439.063376
"GAB",2019,NA,3.944946204,7118.089456,72.24979736,47.20818078,20.85647216,16874450215,1.86305329059279,0.493171623013971,0.243741274387943,8.18958847271053,8227.817469,51439.063376
"GAB",2001,NA,2.135233422,7866.613545,83.63861324,47.71007451,27.75684191,5023265365,0.913748262630358,-1.08017387212033,1.25237261878161,8.18958847271053,8227.817469,51439.063376
"GAB",2014,NA,4.314964441,7350.051298,73.52032902,52.72224165,26.77363516,18203968002,3.70875184973861,0.283894148760985,0.328554741435652,8.18958847271053,8227.817469,51439.063376
"GAB",1995,NA,4.973847763,8815.228873,95.13469619,52.36344538,29.82538446,4958845906,10.6512686623499,0.218195931172377,2.68026074049174,8.18958847271053,8227.817469,51439.063376
"GAB",2002,NA,-0.249033169,7662.455307,84.75908154,47.3156668,25.63085949,5335451308,-3.10189317540671,-0.239904728974054,1.58299636008973,8.18958847271053,8227.817469,51439.063376
"GAB",2013,NA,5.638699003,7304.779664,90.63503615,56.60861687,32.43019441,17595745653,7.4605533967592,0.144182579700307,0.351278094256049,8.18958847271053,8227.817469,51439.063376
"GAB",1997,NA,5.738367395,9181.826301,98.53626451,53.6521823,30.76269061,5326816859,4.13661677945065,-1.03908209095799,1.7680352543166,8.18958847271053,8227.817469,51439.063376
"GAB",2016,NA,2.091442208,7313.139965,70.13338106,45.03785091,11.56575205,14023890620,-1.43997129949093,-0.0517688008037245,0.35774665789571,8.18958847271053,8227.817469,51439.063376
"GAB",2012,NA,5.251076918,7181.21372,92.34280894,58.82460162,37.93129898,17170465294,2.21921767101532,0.0470575483054816,0.36120162696856,8.18958847271053,8227.817469,51439.063376
"GAB",2017,NA,0.472642031,7145.117564,75.06874045,45.46730899,18.83700311,14929488771,0.400683512460241,0.358418167030215,0.356944573370214,8.18958847271053,8227.817469,51439.063376
"GAB",1999,NA,-8.932622802,8235.89938,97.73145246,48.81574364,26.17709394,4662992036,4.88677652118555,-0.551362725938827,1.57645561974964,8.18958847271053,8227.817469,51439.063376
"GAB",2018,NA,0.842950946,7020.178021,73.39194516,47.14374419,23.15290825,16862282414,0.281693775692921,0.429835049731009,0.284777581237349,8.18958847271053,8227.817469,51439.063376
"GAB",2009,NA,0.13033112,6634.718677,83.50457742,50.44675323,27.27249765,12113699661,-2.33834425424921,-0.176329285005872,0.81965050132177,8.18958847271053,8227.817469,51439.063376
"GAB",2006,NA,-2.806578356,7091.720042,88.64940926,59.46631966,40.64484571,10327598801,1.63232522146074,-0.456640511591461,0.758743649031105,8.18958847271053,8227.817469,51439.063376
"GAB",2011,NA,7.091753343,7086.387782,90.49837733,60.88121046,37.68573244,18210308748,2.88704605328419,-0.0627666458497324,0.444034206772473,8.18958847271053,8227.817469,51439.063376
"GAB",2015,NA,3.878899395,7384.700704,73.94978146,48.1836273,12.47895127,14383107714,-5.01595353622894,0.324616911229509,0.36487246736613,8.18958847271053,8227.817469,51439.063376
"GAB",1996,NA,3.62504902,8905.025214,95.67090085,55.36597089,33.51648457,5694040337,6.45394093210127,0.112573842484882,2.10922285217383,8.18958847271053,8227.817469,51439.063376
"GAB",2005,NA,2.676203333,7504.259959,83.94959984,59.92236081,39.57681845,9582783318,-0.817716496342049,-0.441103577084972,0.966003267820106,8.18958847271053,8227.817469,51439.063376
"GAB",2008,NA,-3.308430649,6845.944588,88.99887259,61.74200001,45.48212156,15571349776,-2.34205772297334,-0.0361561462621402,0.448002267006554,8.18958847271053,8227.817469,51439.063376
"GAB",2007,NA,6.008108025,7301.228842,85.13247916,57.22220573,38.59501331,12455410056,4.67708407335313,-0.307737760761523,0.73494168067075,8.18958847271053,8227.817469,51439.063376
"GAB",1998,NA,3.477833587,9267.869085,95.97478261,43.14177694,15.91169195,4483417120,3.34187063103332,-0.945261144918856,1.94093026972248,8.18958847271053,8227.817469,51439.063376
"GAB",2004,NA,0.689543058,7507.13141,81.76753714,51.5005374,28.13179762,7770219480,5.1329309426405,-0.484284904652397,0.999843057200232,8.18958847271053,8227.817469,51439.063376
"GEO",2012,24.5,6.369008306,3597.203764,91.94227852,19.17230133,1.085822012,16488403076,5.98796618113438,1.6262945463185,2.39926206423121,12.4732380968383,0,51439.063376
"GEO",2006,18.7,9.419770648,2563.543091,89.12537437,21.71444318,0.974836429,7745394293,9.88200175543988,1.11175747473338,3.50001548978599,12.4732380968383,0,51439.063376
"GEO",2013,23.3,3.621305352,3738.70504,95.60208582,18.512858,0.798404617,17189551521,4.05798836082386,1.32539816249229,2.45317627679136,12.4732380968383,0,51439.063376
"GEO",2001,12.1,4.805453273,1667.508007,63.32992508,20.53640995,0.583862278,3219488664,9.25053730830593,3.4486842970291,5.68661732054479,12.4732380968383,0,51439.063376
"GEO",2005,16.6,9.589574062,2329.570854,84.52959754,23.7580566,0.655462818,6410823633,5.41927246620294,0.842949410147967,3.73290568731514,12.4732380968383,0,51439.063376
"GEO",2016,24.5,2.90643878,4128.385603,96.82581761,19.25549727,0.595585186,15141758567,7.52488553399083,0.948502773733336,2.11342690866456,12.4732380968383,0,51439.063376
"GEO",2011,24.1,7.399999867,3356.997868,87.54685286,17.95460522,1.911478119,15107441447,6.76534146159448,0.622342309449561,3.06100805766704,12.4732380968383,0,51439.063376
"GEO",2014,23.3,4.431924823,3902.568799,96.77483614,18.69843208,0.512591311,17627003455,2.88080728693543,1.14954308891636,2.06189328167917,12.4732380968383,0,51439.063376
"GEO",2018,23.4,4.842919885,4539.087522,111.7555393,19.91775674,0.474382778,17599700091,6.49317882743005,1.17661095887591,2.17816211650126,12.4732380968383,0,51439.063376
"GEO",2019,24.1,4.982350475,4773.423309,118.5993683,20.31255863,0.117472442,17477255562,6.47973588291688,0.943798066091356,1.90281591306057,12.4732380968383,0,51439.063376
"GEO",2003,11.4,11.05872319,1984.244331,77.63337654,24.08542637,0.776065197,3991284895,21.2154737703834,0.89945972147899,4.82977299469373,12.4732380968383,0,51439.063376
"GEO",1996,8.2,11.20000201,1191.181062,45.69654905,23.03993796,0.456082784,3095047604,10.3956397822177,5.87131518640125,4.1240076512891,12.4732380968383,0,51439.063376
"GEO",2000,11.8,1.838341066,1566.560257,62.66139564,20.99750128,0.81211685,3057475335,8.4412782352012,0.960923532683216,4.66299755121328,12.4732380968383,0,51439.063376
"GEO",1998,10.5,3.104902718,1436.711916,53.56666932,21.79964557,0.198624548,3613541517,7.59310495560027,3.32333251008833,2.45133478011178,12.4732380968383,0,51439.063376
"GEO",2010,22.3,6.249487768,3100.723427,82.89905415,16.85210984,1.362163845,12243505583,7.03115618451056,0.74202604298351,4.08747312285193,12.4732380968383,0,51439.063376
"GEO",1999,11.7,2.869257044,1508.656511,57.15187433,21.23061725,0.501881405,2800049395,10.2955326614872,4.91634184189097,3.89921692792137,12.4732380968383,0,51439.063376
"GEO",2009,23.7,-3.650513631,2897.130877,78.19303903,18.92638719,0.77671855,10766836277,10.9631090288009,1.52375308567163,5.85176540063032,12.4732380968383,0,51439.063376
"GEO",1997,11,10.51904122,1359.392793,57.75306593,22.22002678,0.349518114,3510520231,8.16289270944811,4.84230224622796,2.05211749996036,12.4732380968383,0,51439.063376
