"iso3","year","grant"
"COM",2002,18.49
"COG",1999,149.68
"COG",2007,138.48
"COG",1998,83.31
"COG",1997,264.32
"COG",1996,340.15
"COG",2010,1387.54
"COG",2001,53.73
"COG",1995,129.1
"COG",2000,50.43
"COG",2012,147.47
"COG",2016,96.87
"COG",2009,313.61
"COG",2011,315.08
"COG",2006,284.63
"COG",2017,106.98
"COG",2008,493.33
"COG",2005,1320.55
"COG",2003,65.38
"COG",2013,156.45
"COG",2004,109.93
"COG",2014,122.35
"COG",2015,111.19
"COG",2019,123.11
"COG",2018,108.23
"COG",2002,85.56
"COK",2019,30.61
"COK",2018,35.17
"COK",2015,26.62
"COK",2017,21.25
"COK",2016,18.57
"COK",2000,4.07
"COK",2002,3.9
"COK",2007,9.9
"COK",2012,19.89
"COK",1999,5.25
"COK",1995,11.23
"COK",2014,28.86
"COK",2003,5.66
"COK",1998,6.19
"COK",2004,7.66
"COK",2013,16.31
"COK",2011,24.75
"COK",2001,4.47
"COK",2008,4.87
"COK",2009,6.38
"COK",1996,7.35
"COK",1997,7.68
"COK",2006,32.54
"COK",2010,13.8
"COK",2005,7.21
"CRI",1997,72.87
"CRI",2015,54.57
"CRI",2018,55.67
"CRI",2016,52.32
"CRI",2019,52.58
"CRI",2017,63.75
"CRI",1999,47.05
"CRI",2011,53.08
"CRI",2014,57.29
"CRI",2012,54.8
"CRI",2007,102.52
"CRI",1995,104.77
"CRI",1998,64.07
"CRI",2013,54.9
"CRI",2002,47.08
"CRI",2009,63.17
"CRI",2000,50.03
"CRI",2006,49.39
"CRI",2010,78.62
"CRI",1996,90.91
"CRI",2001,62.23
"CRI",2008,77.13
"CRI",2003,51.4
"CRI",2004,59.13
"CRI",2005,51.07
"CIV",2007,298.91
"CIV",2009,1387.5
"CIV",2010,695.91
"CIV",2006,329.69
"CIV",2000,310.34
"CIV",2001,283.63
"CIV",2005,224.93
"CIV",2002,749.44
"CIV",2017,949.85
"CIV",2008,794.58
"CIV",2012,2773.79
"CIV",2016,784.18
"CIV",2015,647.06
"CIV",2003,361.92
"CIV",2011,743.18
"CIV",2014,926.82
"CIV",2018,820.04
"CIV",1998,608.35
"CIV",1995,576.24
"CIV",2004,300.45
"CIV",1999,451.42
"CIV",1997,404.34
"CIV",1996,606.16
"CIV",2019,775.39
"CIV",2013,1876.11
"HRV",2004,138.85
"HRV",2005,134.17
"HRV",2003,135.37
"HRV",2009,178.64
"HRV",2010,147.14
"HRV",2001,110.5
"HRV",1998,58.14
"HRV",2006,210.75
"HRV",2008,246.93
"HRV",2007,176.2
"HRV",2002,122.99
"HRV",2000,76.44
"HRV",1999,60.2
"HRV",1996,54.24
"HRV",1997,56.62
"HRV",1995,50.46
"CUB",2001,52.2
"CUB",1998,67.93
"CUB",1999,57.75
"CUB",2000,45.07
"CUB",2016,2609.1
"CUB",2002,62.11
"CUB",1995,63.63
"CUB",2015,547.95
"CUB",2008,107.53
"CUB",2010,132.7
"CUB",2011,80.98
"CUB",1997,62.2
"CUB",2019,485.67
"CUB",2003,78.83
"CUB",1996,56.26
"CUB",2006,78.71
"CUB",2007,86.27
"CUB",2014,264.14
"CUB",2017,697
"CUB",2009,113
"CUB",2005,75.28
"CUB",2012,83.46
"CUB",2013,93.26
"CUB",2018,536.35
"CUB",2004,84.69
"CYP",1996,20.85
"CYP",1995,21.28
"PRK",2011,115.74
"PRK",2003,119.89
"PRK",1995,13.48
"PRK",2012,94.47
"PRK",2002,255.76
"PRK",1996,23.82
"PRK",2014,155.1
"PRK",2019,151.71
"PRK",1998,86.72
"PRK",2013,109.57
"PRK",1997,86.32
"PRK",2015,129.85
"PRK",2010,76.24
"PRK",2004,147.69
"PRK",2006,51.52
"PRK",2001,98.9
"PRK",2005,78.03
"PRK",2017,129.64
"PRK",1999,191.98
"PRK",2007,104.38
"PRK",2000,57.18
"PRK",2016,121.63
"PRK",2008,208.3
"PRK",2009,67.35
"PRK",2018,122.4
"COD",2000,186.3
"COD",2009,2134.79
"COD",2001,251.27
"COD",2019,2773.64
"COD",1999,155.21
"COD",2003,4971.63
"COD",2004,1697.16
"COD",2002,572.79
"COD",2017,2302.42
"COD",2014,2469.33
"COD",1998,138.68
"COD",2006,2085.73
"COD",2018,2357.9
"COD",1996,182.06
"COD",2005,1299.73
"COD",2011,7208.59
"COD",2007,1326.57
"COD",2015,2696.97
"COD",2013,2544.61
"COD",1997,162.18
"COD",2010,4136.99
"COD",1995,215.32
"COD",2012,2706.05
"COD",2016,2154.75
"COD",2008,1803.05
"DJI",1998,76.72
"DJI",1996,83.59
"DJI",1997,69.67
"DJI",2007,102.87
"DJI",2008,106.33
"DJI",1995,94.98
"DJI",2016,127.7
"DJI",2006,107.4
"DJI",2005,73.18
"DJI",1999,71.86
"DJI",2009,118.4
"DJI",2000,52.37
"DJI",2019,201.02
"DJI",2014,146.45
"DJI",2010,122.04
"DJI",2002,48.83
"DJI",2018,135.46
"DJI",2004,59.99
"DJI",2013,132.5
"DJI",2017,113.94
"DJI",2003,54.11
"DJI",2001,46.93
"DJI",2011,122.85
"DJI",2015,122.65
"DJI",2012,132.78
"DMA",2010,28.85
"DMA",2012,12.17
"DMA",2001,11.38
"DMA",2011,24.24
"DMA",2005,8.92
"DMA",2003,5.19
"DMA",2013,14.44
"DMA",2000,8.33
"DMA",2014,10.57
"DMA",2015,6.66
"DMA",2007,21.87
"DMA",1999,8.67
"DMA",2016,15.08
"DMA",1998,29.12
"DMA",2002,23.85
"DMA",1996,28.15
"DMA",2009,29.85
"DMA",2004,20.08
"DMA",2006,18.07
"DMA",2008,23.91
"DMA",2019,40.08
"DMA",1997,11.48
"DMA",2018,30.12
"DMA",1995,28.09
"DMA",2017,19.64
"DOM",2000,100.44
"DOM",2015,112.54
"DOM",2018,132.38
"DOM",2014,157.59
"DOM",2019,139.48
"DOM",2016,133.12
"DOM",2004,120.6
"DOM",1999,124.79
"DOM",2013,166.44
"DOM",2012,200.02
"DOM",1996,102.75
"DOM",2017,138.92
"DOM",1998,101.63
"DOM",1995,92.67
"DOM",2003,108.26
"DOM",2001,116.85
"DOM",2005,133.41
"DOM",2002,123.03
"DOM",2007,228.1
"DOM",1997,97.21
"DOM",2011,172.31
"DOM",2008,215.4
"DOM",2006,151.5
"DOM",2010,233.02
"DOM",2009,197.83
"ECU",2002,225.54
"ECU",2016,184.45
"ECU",2001,168.86
"ECU",2000,151.58
"ECU",2003,230.35
"ECU",2014,190.18
"ECU",2018,185.54
"ECU",2015,152.37
"ECU",2019,254.16
"ECU",1995,178.34
"ECU",2009,290.76
"ECU",1998,148.99
"ECU",2004,257.11
"ECU",2017,171.68
"ECU",2005,339.53
"ECU",1996,151.05
"ECU",1999,125.72
"ECU",1997,135.76
"ECU",2013,186.01
"ECU",2011,233.94
"ECU",2006,258.62
"ECU",2012,210.93
"ECU",2008,300.74
"ECU",2010,232.25
"ECU",2007,263.19
"EGY",2003,1143.84
"EGY",2004,1634.57
"EGY",1998,1867.75
"EGY",2005,1263.78
"EGY",1996,1852.77
"EGY",2006,1097.02
"EGY",2002,1511.01
"EGY",1997,1625.39
"EGY",1999,1572.24
"EGY",2014,3733.76
"EGY",2013,3354.17
"EGY",2015,913.17
"EGY",2011,603.1
"EGY",2012,758.32
"EGY",1995,1763.9
"EGY",2001,1430.6
"EGY",2017,488.72
"EGY",2000,1479.1
"EGY",2010,828.77
"EGY",2009,1105.73
"EGY",2007,1397.78
"EGY",2016,925.37
"EGY",2019,715.22
"EGY",2008,1769.6
"EGY",2018,587.01
"SLV",1997,208.44
"SLV",2005,217.91
"SLV",2003,222.09
"SLV",1995,230.99
"SLV",1999,163.24
"SLV",2013,217.98
"SLV",2010,383.41
"SLV",2009,327.08
"SLV",2011,340.75
"SLV",2014,155.56
"SLV",1998,182.62
"SLV",2004,252.03
"SLV",2001,236.24
"SLV",2012,283.58
"SLV",1996,206.64
"SLV",2002,210.54
"SLV",2008,240
"SLV",2015,144.34
"SLV",2018,297.48
"SLV",2000,155.57
"SLV",2007,211.92
"SLV",2019,328.68
"SLV",2016,176.98
"SLV",2006,181.13
"SLV",2017,199.11
"GNQ",2004,49.59
"GNQ",2018,10.54
"GNQ",2013,10.32
"GNQ",2006,33.28
"GNQ",2007,35.83
"GNQ",2005,41.67
"GNQ",2003,23.89
"GNQ",2017,11.75
"GNQ",2012,19.38
"GNQ",2014,9.61
"GNQ",1995,32.06
"GNQ",2009,35.82
"GNQ",2008,35.69
"GNQ",2002,22.23
"GNQ",1997,25.54
"GNQ",2001,20.27
"GNQ",2019,14.08
"GNQ",1998,26.27
"GNQ",1996,29.37
"GNQ",2000,25.77
"GNQ",2015,10.95
"GNQ",2016,11.62
"GNQ",2010,89.6
"GNQ",1999,21.47
"GNQ",2011,29.47
"ERI",2019,358.69
"ERI",2018,87.6
"ERI",1999,86.59
"ERI",2017,81.1
"ERI",2016,68.23
"ERI",2015,97.46
"ERI",2013,90.03
"ERI",1997,97.07
"ERI",1998,106.31
"ERI",2003,247.04
"ERI",2001,182.97
"ERI",2014,88.3
"ERI",2000,128.63
"ERI",1996,152.8
"ERI",2009,135.36
"ERI",2012,80.15
"ERI",2011,115
"ERI",2010,154.54
"ERI",2004,222.52
"ERI",2008,120.1
"ERI",2002,152.79
"ERI",2006,105.09
"ERI",2005,262.84
"ERI",1995,145.19
"ERI",2007,128.19
"SWZ",2002,16.92
"SWZ",2001,19.93
"SWZ",2003,26.05
"SWZ",2019,89.63
"SWZ",2018,111.04
"SWZ",2012,85.65
"SWZ",2010,97.11
"SWZ",2000,19.32
"SWZ",2017,153.35
"SWZ",2014,90.38
"SWZ",1999,23.39
"SWZ",1995,46.58
"SWZ",2004,27.81
"SWZ",2015,97.66
"SWZ",2011,125.9
"SWZ",2009,63.47
"SWZ",1997,32.2
"SWZ",1998,38.74
